;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.31%;-9.87%;8.23%;-0.35%
2008;-7.44%;-3.57%;-5.89%;3.48%;27.73%;-11.01%;6.53%;-16.77%;-26.36%;-15.79%;15.62%;-13.51%;-47.85%
2009;19.31%;3.98%;0.76%;12.07%;29.32%;9.00%;4.87%;14.54%;1.99%;8.98%;15.94%;6.25%;123.89%
2010;-3.92%;-3.06%;1.58%;-1.48%;-1.71%;-5.38%;5.02%;11.36%;10.79%;5.74%;1.05%;2.46%;24.80%
2011;-11.49%;3.48%;3.15%;8.61%;-0.81%;-2.00%;-10.00%;2.10%;-10.96%;-9.62%;-8.47%;14.85%;-18.80%
2012;16.56%;7.39%;-9.52%;-6.37%;-9.86%;11.19%;-19.63%;16.40%;3.09%;6.91%;-3.12%;14.86%;25.36%
2013;5.20%;1.34%;7.00%;-11.08%;-6.84%;-3.48%;2.83%;1.39%;15.31%;2.85%;-2.99%;-5.96%;6.13%
2014;-10.07%;12.56%;0.60%;9.82%;5.26%;-9.43%;-13.04%;14.19%;-1.81%;-13.31%;-3.42%;3.29%;-6.24%
2015;-11.93%;14.07%;8.48%;2.75%;-7.87%;15.87%;14.34%;0.98%;2.00%;6.24%;13.84%;-12.74%;46.07%
2016;-2.90%;-11.18%;5.69%;0.18%;-10.57%;4.41%;10.23%;-5.28%;-0.61%;18.73%;-2.59%;-2.50%;7.73%
2017;3.28%;4.46%;0.64%;0.60%;6.31%;-0.84%;-0.85%;2.45%;-0.50%;0.22%;-0.22%;4.30%;22.94%
2018;10.94%;5.17%;3.63%;-0.76%;-9.44%;-6.64%;20.73%;4.08%;13.19%;-4.62%;8.47%;6.32%;51.22%
2019;13.88%;-5.30%;-1.28%;4.70%;11.89%;7.48%;11.99%;15.30%;-1.18%;2.33%;8.11%;14.92%;82.15%
2020;4.92%;-16.12%;-34.90%;33.80%;-0.33%;1.29%;13.64%;-14.21%;-9.58%;0.74%;12.23%;3.35%;-6.98%
2021;-7.84%;-18.37%;9.64%;-4.71%;6.57%;-0.12%;-13.19%;-2.96%;-12.74%;1.92%;-3.66%;10.52%;-33.99%
2022;-15.10%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-15.88%
