;Data;Valor;Tipo;Data de Pagamento;Por quantas ações
0;30/09/2021;0,3573;JRS CAP PROPRIO;31/07/2022 ;1
1;30/06/2021;0,3739;JRS CAP PROPRIO;31/07/2022 ;1
2;30/04/2021;0,1661;JRS CAP PROPRIO;31/07/2022 ;1
3;15/04/2021;0,9418;DIVIDENDO;05/10/2021 ;1
4;31/03/2021;0,1601;JRS CAP PROPRIO;31/07/2022 ;1
5;26/02/2021;0,0889;JRS CAP PROPRIO;31/07/2022 ;1
6;28/12/2020;0,1540;JRS CAP PROPRIO;13/07/2021 ;1
7;28/12/2020;0,7108;DIVIDENDO;05/10/2021 ;1
8;27/11/2020;0,2369;JRS CAP PROPRIO;13/07/2021 ;1
9;28/09/2020;0,3610;JRS CAP PROPRIO;13/07/2021 ;1
10;30/06/2020;0,4998;JRS CAP PROPRIO;13/07/2021 ;1
11;28/05/2020;1,2193;DIVIDENDO;09/12/2020 ;1
12;31/03/2020;0,0833;JRS CAP PROPRIO;- ;1
13;28/02/2020;0,1499;JRS CAP PROPRIO;- ;1
14;30/12/2019;0,1944;JRS CAP PROPRIO;- ;1
15;30/12/2019;0,5554;DIVIDENDO;- ;1
16;28/06/2019;0,5376;JRS CAP PROPRIO;- ;1
17;30/04/2019;0,3166;JRS CAP PROPRIO;- ;1
18;11/04/2019;1,3710;DIVIDENDO;- ;1
19;28/02/2019;0,3888;JRS CAP PROPRIO;- ;1
20;17/12/2018;0,7497;JRS CAP PROPRIO;- ;1
21;17/09/2018;1,5550;JRS CAP PROPRIO;- ;1
22;29/06/2018;0,2221;JRS CAP PROPRIO;- ;1
23;12/04/2018;1,2173;DIVIDENDO;11/12/2018 ;1
24;26/12/2017;0,8256;JRS CAP PROPRIO;- ;1
25;29/09/2017;0,1694;JRS CAP PROPRIO;- ;1
26;30/06/2017;0,0528;JRS CAP PROPRIO;- ;1
27;26/04/2017;1,0630;DIVIDENDO;- ;1
28;31/03/2017;0,1944;JRS CAP PROPRIO;- ;1
29;24/02/2017;0,1000;JRS CAP PROPRIO;- ;1
30;29/12/2016;0,3355;JRS CAP PROPRIO;- ;1
31;30/09/2016;0,3610;JRS CAP PROPRIO;- ;1
32;30/06/2016;0,0894;JRS CAP PROPRIO;- ;1
33;29/04/2016;0,1222;JUROS;- ;1
34;31/03/2016;0,1872;JUROS;- ;1
35;29/02/2016;0,1111;JUROS;- ;1
36;30/12/2015;0,1682;JUROS;- ;1
37;30/11/2015;0,1305;JUROS;- ;1
38;30/10/2015;0,0489;JUROS;- ;1
39;30/09/2015;0,0816;JUROS;- ;1
40;31/08/2015;0,1316;JUROS;- ;1
41;31/07/2015;0,1227;JUROS;- ;1
42;25/05/2015;0,3246;Juros;- ;1
43;25/05/2015;0,1702;Dividendo;- ;1
44;09/04/2015;0,0155;Dividendo;-  ;1
45;10/02/2015;2,2965;Dividendo;- ;1
46;30/12/2014;0,3970;JRS CAP PROPRIO;- ;1
47;28/11/2014;0,3869;JRS CAP PROPRIO;- ;1
48;31/10/2014;0,2554;JRS CAP PROPRIO;- ;1
49;30/09/2014;0,2089;JRS CAP PROPRIO;- ;1
50;29/08/2014;0,2500;JRS CAP PROPRIO;- ;1
51;31/07/2014;0,2489;JRS CAP PROPRIO;- ;1
52;23/04/2014;0,1107;DIVIDENDO;- ;1
53;10/03/2014;0,8710;DIVIDENDO;- ;1
54;30/12/2013;0,6347;JRS CAP PRÓPRIO;- ;1
55;31/10/2013;0,6230;DIVIDENDO;- ;1
56;31/10/2013;0,4493;JRS CAP PRÓPRIO;- ;1
57;30/09/2013;0,1837;JRS CAP PRÓPRIO;- ;1
58;30/08/2013;0,1837;JRS CAP PRÓPRIO;- ;1
59;16/04/2013;1,2516;DIVIDENDO;- ;1
60;21/01/2013;1,3779;DIVIDENDO;- ;1
61;23/11/2012;0,9374;DIVIDENDO;- ;1
62;11/04/2012;1,6301;DIVIDENDO;- ;1
63;29/12/2011;0,5150;JRS CAP PRÓPRIO;- ;1
64;30/09/2011;1,0430;JRS CAP PRÓPRIO;- ;1
65;30/09/2011;0,3191;DIVIDENDO;- ;1
66;18/03/2011;3,1398;DIVIDENDO;- ;1
67;30/12/2010;0,3744;JRS CAP PRÓPRIO;- ;1
68;30/09/2010;0,7228;JRS CAP PRÓPRIO;- ;1
69;30/09/2010;0,3639;DIVIDENDO;- ;1
70;07/04/2010;1,4827;DIVIDENDO;- ;1
71;07/04/2010;0,8371;DIVIDENDO;- ;1
72;30/12/2009;0,3799;JRS CAP PRÓPRIO;- ;1
73;30/09/2009;0,7413;JRS CAP PRÓPRIO;- ;1
74;18/05/2009;0,8711;DIVIDENDO;- ;1
75;25/03/2009;0,7323;DIVIDENDO;- ;1
76;30/12/2008;0,7710;JRS CAP PRÓPRIO;- ;1
77;24/11/2008;2,0202;DIVIDENDO;- ;1
78;20/05/2008;0,8989;DIVIDENDO;- ;1
79;20/05/2008;0,3707;JRS CAP PRÓPRIO;- ;1
80;26/03/2008;0,6504;DIVIDENDO;- ;1
81;28/12/2007;0,3911;JRS CAP PRÓPRIO;- ;1
82;07/11/2007;2,9283;DIVIDENDO;- ;1
83;07/11/2007;0,3892;JRS CAP PRÓPRIO;- ;1
84;30/04/2007;0,4096;JRS CAP PRÓPRIO;- ;1
85;29/03/2007;1,3078;DIVIDENDO;- ;1
86;28/12/2006;0,2224;JRS CAP PRÓPRIO;- ;1
87;13/11/2006;2,1870;DIVIDENDO;- ;1
88;13/11/2006;0,6857;JRS CAP PRÓPRIO;- ;1
89;23/05/2006;2,1660;DIVIDENDO;- ;1
90;23/05/2006;0,5371;JRS CAP PRÓPRIO;- ;1
91;29/12/2005;0,7240;JRS CAP PRÓPRIO;- ;1
92;19/09/2005;2,4580;DIVIDENDO;- ;1
93;19/09/2005;0,4592;JRS CAP PRÓPRIO;- ;1
94;29/04/2005;0,6820;JRS CAP PRÓPRIO;- ;1000
95;01/04/2005;2,8494;DIVIDENDO;- ;1000
96;05/10/2004;3,0320;DIVIDENDO;- ;1000
97;05/10/2004;1,1261;JRS CAP PRÓPRIO;- ;1000
98;07/04/2004;1,1656;DIVIDENDO;- ;1000
99;07/04/2004;0,5619;JRS CAP PRÓPRIO;- ;1000
100;29/12/2003;2,0896;JRS CAP PRÓPRIO;- ;1000
101;02/10/2003;3,4250;DIVIDENDO;- ;1000
102;04/04/2003;1,7040;DIVIDENDO;- ;1000
103;27/03/2003;0,0891;DIVIDENDO;- ;1000
104;23/12/2002;1,1858;JRS CAP PRÓPRIO;- ;1000
105;04/10/2002;0,6867;DIVIDENDO;- ;1000
106;28/12/2001;2,1480;JRS CAP PRÓPRIO;- ;1000
107;28/12/2000;1,6603;JRS CAP PRÓPRIO;- ;1000
108;13/03/2000;0,1364;DIVIDENDO;- ;1000
109;30/12/1999;2,1946;JRS CAP PRÓPRIO;- ;1000
110;30/12/1998;0,7864;JRS CAP PRÓPRIO;- ;1000
111;30/12/1998;0,6836;JRS CAP PRÓPRIO;- ;1000
