;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;01/08/2022;0,7355;DIVIDENDO;16/08/2022 ;1;EKTR3
1;05/07/2022;0,2445;JRS CAP PROPRIO;31/12/2022 ;1;EKTR3
2;20/04/2022;2,9273;DIVIDENDO;31/12/2022 ;1;EKTR3
3;20/04/2022;0,4566;DIVIDENDO;05/05/2022 ;1;EKTR3
4;04/04/2022;0,2428;JRS CAP PROPRIO;16/08/2022 ;1;EKTR3
5;05/01/2022;0,3326;JRS CAP PROPRIO;15/03/2022 ;1;EKTR3
6;05/07/2021;0,3163;JRS CAP PROPRIO;26/08/2021 ;1;EKTR3
7;09/04/2021;2,0826;DIVIDENDO;- ;1;EKTR3
8;09/04/2021;0,1858;DIVIDENDO;- ;1;EKTR3
9;06/01/2021;0,6355;JRS CAP PROPRIO;30/04/2021 ;1;EKTR3
10;06/01/2020;0,3288;JRS CAP PROPRIO;30/06/2020 ;1;EKTR3
11;03/07/2019;0,3726;JRS CAP PROPRIO;- ;1;EKTR3
12;04/01/2019;0,6668;JRS CAP PROPRIO;30/04/2019 ;1;EKTR3
13;15/09/2017;0,6843;DIVIDENDO;- ;1;EKTR3
14;15/09/2017;0,4755;JRS CAP PROPRIO;- ;1;EKTR3
15;12/04/2017;0,5320;DIVIDENDO;- ;1;EKTR3
16;19/10/2016;0,6799;JRS CAP PROPRIO;- ;1;EKTR3
17;18/07/2016;0,5119;DIVIDENDO;- ;1;EKTR3
18;20/04/2016;0,3562;DIVIDENDO;- ;1;EKTR3
19;30/12/2015;0,5669;JUROS;- ;1;EKTR3
20;07/08/2015;0,9048;DIVIDENDO;- ;1;EKTR3
21;09/04/2015;1,6368;Dividendo;- ;1;EKTR3
22;04/12/2014;0,4614;JRS CAP PROPRIO;- ;1;EKTR3
23;04/12/2014;0,0622;DIVIDENDO;- ;1;EKTR3
24;20/03/2014;0,7990;DIVIDENDO;- ;1;EKTR3
25;21/10/2013;0,4563;JRS CAP PRÓPRIO;- ;1;EKTR3
26;21/10/2013;0,3840;DIVIDENDO;- ;1;EKTR3
27;26/04/2013;0,2284;DIVIDENDO;- ;1;EKTR3
28;14/12/2012;0,4509;JRS CAP PRÓPRIO;- ;1;EKTR3
29;14/08/2012;0,3326;DIVIDENDO;- ;1;EKTR3
30;09/04/2012;0,6605;DIVIDENDO;- ;1;EKTR3
31;16/12/2011;0,3512;JRS CAP PRÓPRIO;- ;1;EKTR3
32;15/08/2011;1,2449;DIVIDENDO;- ;1;EKTR3
33;29/04/2011;0,8239;DIVIDENDO;- ;1;EKTR3
34;17/12/2010;0,3316;JRS CAP PRÓPRIO;- ;1;EKTR3
35;16/08/2010;0,3111;DIVIDENDO;- ;1;EKTR3
36;14/04/2010;0,7629;DIVIDENDO;- ;1;EKTR3
37;18/12/2009;0,3313;JRS CAP PRÓPRIO;- ;1;EKTR3
38;12/08/2009;1,1677;DIVIDENDO;- ;1;EKTR3
39;02/04/2009;0,8240;DIVIDENDO;- ;1;EKTR3
40;02/01/2009;0,3320;JRS CAP PRÓPRIO;- ;1;EKTR3
41;14/08/2008;0,5655;DIVIDENDO;- ;1;EKTR3
42;14/08/2008;0,0984;DIVIDENDO;- ;1;EKTR3
43;31/03/2008;0,3412;DIVIDENDO;- ;1000;EKTR3
44;28/12/2007;0,0135;JRS CAP PRÓPRIO;- ;1000;EKTR3
45;30/11/2007;0,1522;JRS CAP PRÓPRIO;- ;1000;EKTR3
46;14/09/2007;0,5806;DIVIDENDO;- ;1000;EKTR3
47;20/04/2007;1,1685;DIVIDENDO;- ;1000;EKTR3
48;17/04/2006;1,2471;DIVIDENDO;- ;1000;EKTR3
49;17/04/2006;0,2452;DIVIDENDO;- ;1000;EKTR3
50;03/01/2001;4,7296;REST CAP DIN;- ;1000;EKTR3
51;30/12/1999;0,1073;JRS CAP PRÓPRIO;- ;1000;EKTR3
52;30/04/1999;0,1193;DIVIDENDO;- ;1000;EKTR3
