;Data;Valor;Tipo;Data de Pagamento;Por quantas ações
0;16/12/2021;0,0373;JRS CAP PROPRIO;30/12/2021 ;1
1;30/11/2021;0,0190;JRS CAP PROPRIO;03/01/2022 ;1
2;29/10/2021;0,0190;JRS CAP PROPRIO;01/12/2021 ;1
3;30/09/2021;0,0190;JRS CAP PROPRIO;01/11/2021 ;1
4;31/08/2021;0,0190;JRS CAP PROPRIO;01/10/2021 ;1
5;30/07/2021;0,0190;JRS CAP PROPRIO;01/09/2021 ;1
6;30/06/2021;0,0190;JRS CAP PROPRIO;02/08/2021 ;1
7;31/05/2021;0,0190;JRS CAP PROPRIO;01/07/2021 ;1
8;06/05/2021;0,0769;JRS CAP PROPRIO;20/05/2021 ;1
9;30/04/2021;0,0190;JRS CAP PROPRIO;01/06/2021 ;1
10;31/03/2021;0,0190;JRS CAP PROPRIO;03/05/2021 ;1
11;26/02/2021;0,0190;JRS CAP PROPRIO;01/04/2021 ;1
12;29/01/2021;0,0190;JRS CAP PROPRIO;01/03/2021 ;1
13;30/12/2020;0,0095;JRS CAP PROPRIO;01/02/2021 ;1
14;30/11/2020;0,0095;JRS CAP PROPRIO;04/01/2021 ;1
15;30/10/2020;0,0095;JRS CAP PROPRIO;01/12/2020 ;1
16;30/09/2020;0,0095;JRS CAP PROPRIO;03/11/2020 ;1
17;31/08/2020;0,0095;JRS CAP PROPRIO;01/10/2020 ;1
18;07/05/2020;0,0174;JRS CAP PROPRIO;20/05/2020 ;1
19;07/05/2020;0,0626;DIVIDENDO;20/05/2020 ;1
20;30/04/2020;0,0212;JRS CAP PROPRIO;01/06/2020 ;1
21;31/03/2020;0,0212;JRS CAP PROPRIO;04/05/2020 ;1
22;28/02/2020;0,0212;JRS CAP PROPRIO;01/04/2020 ;1
23;31/01/2020;0,0212;JRS CAP PROPRIO;02/03/2020 ;1
24;30/12/2019;0,0206;JRS CAP PROPRIO;03/02/2020 ;1
25;29/11/2019;0,0206;JRS CAP PROPRIO;02/01/2020 ;1
26;31/10/2019;0,0206;JRS CAP PROPRIO;02/12/2019 ;1
27;30/09/2019;0,0206;JRS CAP PROPRIO;01/11/2019 ;1
28;30/08/2019;0,0206;JRS CAP PROPRIO;01/10/2019 ;1
29;31/07/2019;0,0206;JRS CAP PROPRIO;02/09/2019 ;1
30;18/07/2019;0,0158;JRS CAP PROPRIO;02/08/2019 ;1
31;28/06/2019;0,0206;JRS CAP PROPRIO;01/08/2019 ;1
32;31/05/2019;0,0206;JRS CAP PROPRIO;01/07/2019 ;1
33;06/05/2019;0,0390;JRS CAP PROPRIO;20/05/2019 ;1
34;30/04/2019;0,0206;JRS CAP PROPRIO;03/06/2019 ;1
35;29/03/2019;0,0206;JRS CAP PROPRIO;02/05/2019 ;1
36;28/02/2019;0,0206;JRS CAP PROPRIO;01/04/2019 ;1
37;31/01/2019;0,0206;JRS CAP PROPRIO;01/03/2019 ;1
38;28/12/2018;0,0199;JRS CAP PROPRIO;01/02/2019 ;1
39;30/11/2018;0,0199;JRS CAP PROPRIO;02/01/2019 ;1
40;31/10/2018;0,0199;JRS CAP PROPRIO;03/12/2018 ;1
41;15/10/2018;0,0317;JRS CAP PROPRIO;29/10/2018 ;1
42;28/09/2018;0,0199;JRS CAP PROPRIO;01/11/2018 ;1
43;31/08/2018;0,0199;JRS CAP PROPRIO;01/10/2018 ;1
44;31/07/2018;0,0136;JRS CAP PROPRIO;03/09/2018 ;1
45;18/07/2018;0,0134;JRS CAP PROPRIO;03/08/2018 ;1
46;29/06/2018;0,0136;JRS CAP PROPRIO;01/08/2018 ;1
47;30/05/2018;0,0136;JRS CAP PROPRIO;02/07/2018 ;1
48;07/05/2018;0,0139;JRS CAP PROPRIO;25/05/2018 ;1
49;30/04/2018;0,0136;JRS CAP PROPRIO;01/06/2018 ;1
50;29/03/2018;0,0136;JRS CAP PROPRIO;02/05/2018 ;1
51;28/02/2018;0,0136;JRS CAP PROPRIO;02/04/2018 ;1
52;31/01/2018;0,0136;JRS CAP PROPRIO;01/03/2018 ;1
