;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;06/05/2022;0,0996;DIVIDENDO;25/05/2022 ;1;RANI3
1;28/04/2022;0,2846;DIVIDENDO;30/05/2022 ;1;RANI3
2;08/03/2022;0,0635;DIVIDENDO;24/03/2022 ;1;RANI3
3;08/11/2021;0,1013;DIVIDENDO;25/11/2021 ;1;RANI3
4;10/08/2021;0,0646;DIVIDENDO;25/08/2021 ;1;RANI3
5;11/05/2021;0,0507;DIVIDENDO;25/05/2021 ;1;RANI3
6;28/04/2021;0,0966;DIVIDENDO;20/05/2021 ;1;RANI3
7;04/03/2021;0,0407;DIVIDENDO;18/03/2021 ;1;RANI3
8;17/11/2020;0,0231;DIVIDENDO;04/12/2020 ;1;RANI3
9;26/08/2020;0,0188;JRS CAP PROPRIO;15/09/2020 ;1;RANI3
10;26/08/2020;0,0162;DIVIDENDO;15/09/2020 ;1;RANI3
11;28/04/2020;0,0108;DIVIDENDO;- ;1;RANI3
12;29/04/2019;0,0228;DIVIDENDO;- ;1;RANI3
13;08/03/2017;0,0247;DIVIDENDO;- ;1;RANI3
14;18/11/2015;0,0075;DIVIDENDO;- ;1;RANI3
15;20/08/2015;0,0226;DIVIDENDO;- ;1;RANI3
16;06/03/2015;0,0771;Dividendo;- ;1;RANI3
17;09/09/2014;0,0183;DIVIDENDO;- ;1;RANI3
18;16/04/2014;0,0153;DIVIDENDO;- ;1;RANI3
19;31/01/2014;0,1034;DIVIDENDO;- ;1;RANI3
20;29/04/2013;0,0619;DIVIDENDO;- ;1;RANI3
21;24/01/2013;0,0902;DIVIDENDO;- ;1;RANI3
22;23/07/2012;0,0902;DIVIDENDO;- ;1;RANI3
23;19/04/2012;0,6774;DIVIDENDO;- ;1;RANI3
24;16/11/2011;0,6231;JRS CAP PRÓPRIO;- ;1;RANI3
25;29/04/2011;1,1992;DIVIDENDO;- ;1;RANI3
26;30/04/2010;0,4741;DIVIDENDO;- ;1;RANI3
27;30/04/2008;0,0312;DIVIDENDO;-  ;1;RANI3
28;13/11/2007;0,1856;JRS CAP PRÓPRIO;- ;1;RANI3
29;14/08/2007;0,1237;JRS CAP PRÓPRIO;- ;1;RANI3
30;19/07/2007;0,2165;JRS CAP PRÓPRIO;- ;1;RANI3
31;21/03/2007;0,1202;DIVIDENDO;- ;1;RANI3
32;22/03/2006;0,0850;DIVIDENDO;- ;1;RANI3
33;29/03/2005;15,4450;DIVIDENDO;- ;1000;RANI3
34;16/09/2004;3,2404;JRS CAP PRÓPRIO;- ;1000;RANI3
35;10/08/2004;3,2404;JRS CAP PRÓPRIO;- ;1000;RANI3
36;12/07/2004;3,2404;JRS CAP PRÓPRIO;- ;1000;RANI3
37;14/06/2004;3,2014;JRS CAP PRÓPRIO;- ;1000;RANI3
38;19/04/2004;9,6432;JRS CAP PRÓPRIO;- ;1000;RANI3
39;31/03/2004;10,6800;DIVIDENDO;- ;1000;RANI3
40;22/08/2003;12,0248;JRS CAP PRÓPRIO;- ;1000;RANI3
41;16/04/2003;8,2768;JRS CAP PRÓPRIO;- ;1000;RANI3
42;26/04/2001;12,0000;DIVIDENDO;- ;1000;RANI3
43;28/04/2000;2,9982;DIVIDENDO;- ;1000;RANI3
