data_dado_inserido;papel;tipo;empresa;setor;cotacao;data_ult_cotacao;min_52_sem;max_52_sem;vol_med_2m;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativos;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec_5a;ativo;disponibilidades;ativo_circulante;div_bruta;div_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
2021-11-19;AFLT3;ON;AFLUENTE T ON;Energia Elétrica;R$ 8,66;2021-11-19;R$ 8,23;R$ 10,88;R$ 5.205,00;R$ 546.316.000,00;R$ 527.145.000,00;2021-09-30;63085000;0.12;27.74;0.31;3.06;2.83;27.41;67.4;14.06;51.3;2.78;50.7;12.37;10.1;17.33;11.4;5.1;11;26.34;9.63;26.45;10.8;R$ 196.426.000,00;R$ 19.758.000,00;R$ 49.277.000,00;R$ 587.000,00;-R$ 19.171.000,00;R$ 178.674.000,00;R$ 19.697.000,00;R$ 6.936.000,00
2021-11-19;ALUP3;ON N2;ALUPAR ON N2;Energia Elétrica;R$ 8,13;2021-11-19;R$ 7,64;R$ 9,31;R$ 941.771,00;R$ 7.147.170.000,00;R$ 15.099.900.000,00;2021-09-30;879111000;1.25;5.08;1.6;1.08;7.51;1.54;72.9;1.1;71.1;0.29;43;4.12;18.9;-0.68;20.3;3.4;21.3;3.17;1.85;3.26;50.1;R$ 24.502.300.000,00;R$ 1.494.620.000,00;R$ 3.773.840.000,00;R$ 9.447.340.000,00;R$ 7.952.720.000,00;R$ 6.603.890.000,00;R$ 1.405.690.000,00;R$ 240.316.000,00
2021-11-19;ATOM3;ON;ATOMPAR ON;Outros;R$ 3,19;2021-11-19;R$ 2,91;R$ 11,30;R$ 105.616,00;R$ 66.667.800,00;R$ 51.186.800,00;2021-09-30;20899000;0.63;8.7;0.37;3.73;0.85;10.34;100;2.2;21.3;2.45;25.2;2.56;23.7;3.85;55.9;9.4;42.9;7.85;46.94;7.94;106.6;R$ 27.186.000,00;R$ 15.481.000,00;R$ 26.615.000,00;R$ 0,00;-R$ 15.481.000,00;R$ 17.865.000,00;R$ 7.660.000,00;R$ 102.000,00
2021-11-19;BALM4;PN;BAUMER PN;Equipamentos;R$ 13,48;2021-11-19;R$ 12,84;R$ 21,30;R$ 14.741,00;R$ 132.104.000,00;R$ 115.243.000,00;2021-09-30;9800000;3.69;17.51;0.77;1.1;12.21;9.02;54.8;0.92;10.2;0.61;4.3;1.48;6.7;2.45;8.7;3;6.3;6.4;2.57;7.87;8.7;R$ 217.381.000,00;R$ 40.686.000,00;R$ 146.536.000,00;R$ 23.825.000,00;-R$ 16.861.000,00;R$ 119.668.000,00;R$ 7.546.000,00;R$ 2.095.000,00
2021-11-19;BDLL4;PN;BAEDELLA PN;Máquinas e Equipamentos;R$ 10,29;2021-11-18;R$ 8,79;R$ 16,50;R$ 7.305,00;R$ 16.464.000,00;R$ 260.618.000,00;2021-09-30;1600000;0;-0.43;-23.93;-0.09;-116.78;-0.55;-98.1;1.51;-275.8;0.02;-350.4;-0.06;-4.5;-0.03;-5.4;0;20.5;-10.51;0.5;-8.65;-47.6;R$ 664.505.000,00;R$ 293.000,00;R$ 264.434.000,00;R$ 244.447.000,00;R$ 244.154.000,00;-R$ 186.846.000,00;-R$ 38.295.000,00;-R$ 8.012.000,00
2021-11-19;BIOM3;ON;BIOMM SA ON;Medicamentos e Outros Produtos;R$ 13,40;2021-11-19;R$ 12,20;R$ 17,95;R$ 99.301,00;R$ 908.198.000,00;R$ 1.030.430.000,00;2021-09-30;67776000;-0.74;-12.23;-1.1;6.39;2.1;-15.72;25.3;8.73;-55.5;2.35;-71.4;11.74;-15;-10.59;-18.7;0;-52.3;-18.04;1.96;-17.83;596.5;R$ 385.684.000,00;R$ 55.071.000,00;R$ 157.778.000,00;R$ 177.300.000,00;R$ 122.229.000,00;R$ 142.109.000,00;-R$ 74.286.000,00;-R$ 16.626.000,00
2021-11-19;BNBR3;ON;BANCO DO NORDESTE ON;Intermediários Financeiros;R$ 68,10;2021-11-11;R$ 61,95;R$ 72,62;R$ 13.137,00;R$ 5.881.870.000,00;R$ 0,00;2021-09-30;86371000;0;4.58;14.86;0.83;82.52;0;0;0;0;0;0;0;0;0;0;7;18;0;0;0;18.4;R$ 60.535.600.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7.127.650.000,00;R$ 1.283.240.000,00;R$ 191.467.000,00
2021-11-19;BRFS3;ON NM;BRF Foods ON NM;Alimentos Processados;R$ 22,67;2021-11-19;R$ 20,05;R$ 30,07;R$ 184.294.000,00;R$ 18.418.800.000,00;R$ 35.364.300.000,00;2021-09-30;812473000;0.67;45.25;0.5;2.42;9.35;6.25;21.6;0.4;6.4;0.35;0.9;4.6;5.6;-0.87;9.1;0;5.4;6.29;1.2;12.01;7.8;R$ 53.048.800.000,00;R$ 7.233.030.000,00;R$ 24.242.200.000,00;R$ 24.178.600.000,00;R$ 16.945.600.000,00;R$ 7.599.850.000,00;R$ 407.008.000,00;-R$ 282.116.000,00
2021-11-19;BRKM5;PNA N1;BRASKEM PNA N1;Químicos;R$ 47,16;2021-11-19;R$ 21,21;R$ 70,17;R$ 178.063.000,00;R$ 37.596.800.000,00;R$ 56.574.100.000,00;2021-09-30;797219000;1.22;2.63;17.94;2.95;16.01;1.46;31.5;0.39;26.8;0.4;14.9;3.5;27.2;-0.94;37.3;0;112;1.91;1.33;2.2;14.2;R$ 94.434.300.000,00;R$ 14.962.100.000,00;R$ 43.118.900.000,00;R$ 33.939.300.000,00;R$ 18.977.200.000,00;R$ 12.764.200.000,00;R$ 14.300.800.000,00;R$ 3.536.810.000,00
2021-11-19;BSLI4;ON;BRB ON;Intermediários Financeiros;R$ 17,44;2021-11-19;R$ 10,08;R$ 103,87;R$ 6.471,00;R$ 6.331.540.000,00;R$ 0,00;2021-09-30;363047000;9;11.4;1.53;2.77;6.29;0;0;0;0;0;0;0;0;0;0;2.6;24.3;0;0;0;9.6;R$ 27.977.900.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.283.750.000,00;R$ 555.214.000,00;R$ 191.553.000,00
2021-11-19;CEBR3;ON;CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA ON;Energia Elétrica;R$ 18,00;2021-11-19;R$ 13,48;R$ 27,86;R$ 108.583,00;R$ 1.297.480.000,00;-R$ 197.884.000,00;2021-09-30;72082000;1.75;0.82;22.03;0.68;26.41;7.46;-8.4;-1.51;-20.3;0.58;-189.7;0.81;7.8;0.82;24.5;105.4;83.4;-1.08;22.04;-1.14;-26;R$ 2.220.100.000,00;R$ 1.495.360.000,00;R$ 1.677.760.000,00;R$ 0,00;-R$ 1.495.360.000,00;R$ 1.903.810.000,00;R$ 1.587.670.000,00;R$ 31.286.000,00
2021-11-19;CEPE5;PNA;CELPE PNA;Energia Elétrica;R$ 26,32;2021-11-10;R$ 22,04;R$ 31,00;R$ 2.280,00;R$ 1.963.790.000,00;R$ 7.346.790.000,00;2021-09-30;74612000;0;4.54;5.79;1.04;25.33;1.83;17.2;0.23;12.6;0.16;5.1;-4.21;8.8;-0.28;9.9;11.3;22.9;5.22;0.88;6.85;-2.6;R$ 12.239.000.000,00;R$ 331.000.000,00;R$ 3.420.000.000,00;R$ 5.714.000.000,00;R$ 5.383.000.000,00;R$ 1.890.000.000,00;R$ 432.200.000,00;R$ 96.000.000,00
2021-11-19;CIEL3;ON NM;CIELO ON NM;Serviços Financeiros Diversos;R$ 2,20;2021-11-19;R$ 2,17;R$ 4,31;R$ 89.919.200,00;R$ 5.976.990.000,00;R$ 2.099.050.000,00;2021-09-30;2716820000;1.38;6.41;0.34;0.61;3.62;6.44;39.2;1.22;18.9;0.07;19;1.08;1;-3.06;9.3;6.6;9.5;1.47;1.08;2.26;-16.7;R$ 88.716.000.000,00;R$ 7.843.520.000,00;R$ 76.936.400.000,00;R$ 3.965.580.000,00;-R$ 3.877.940.000,00;R$ 9.824.110.000,00;R$ 931.832.000,00;R$ 211.942.000,00
2021-11-19;CRPG5;PNA;CRISTAL PNA;Químicos;R$ 64,13;2021-11-19;R$ 24,14;R$ 118,71;R$ 3.569.190,00;R$ 1.860.990.000,00;R$ 1.645.870.000,00;2021-09-30;29019000;2.92;6.45;9.94;2.14;29.99;8.23;35.1;1.91;23.2;1.56;29.6;3.13;18.9;4.49;24.3;7.7;33.2;6.58;5.15;7.28;12.6;R$ 1.194.950.000,00;R$ 219.290.000,00;R$ 738.942.000,00;R$ 4.172.000,00;-R$ 215.118.000,00;R$ 870.219.000,00;R$ 288.500.000,00;R$ 68.408.000,00
2021-11-19;CSRN5;PNA;COSERN PNA;Energia Elétrica;R$ 15,30;2021-11-16;R$ 13,22;R$ 25,73;R$ 1.258,00;R$ 2.571.530.000,00;R$ 4.168.530.000,00;2021-09-30;168074000;0;5.28;2.9;1.73;8.82;3.98;23;0.73;18.4;0.5;13.9;-91.84;12.6;-1.07;14.5;13.2;32.8;5.41;0.98;6.45;14.3;R$ 5.125.000.000,00;R$ 225.000.000,00;R$ 1.230.000.000,00;R$ 1.822.000.000,00;R$ 1.597.000.000,00;R$ 1.483.000.000,00;R$ 486.700.000,00;R$ 139.000.000,00
2021-11-19;CVCB3;ON NM;CVC BRASIL ON NM;Viagens e Lazer;R$ 15,28;2021-11-19;R$ 14,30;R$ 28,65;R$ 163.356.000,00;R$ 3.437.010.000,00;R$ 3.659.910.000,00;2021-09-30;224935000;1.13;57.44;0.27;6.61;2.31;-8.36;100;5.09;-60.9;0.65;7.7;167.65;-7.8;-2.35;-10.4;0;11.5;-15.02;1.01;-8.91;-15.1;R$ 5.293.040.000,00;R$ 770.702.000,00;R$ 3.311.960.000,00;R$ 993.606.000,00;R$ 222.904.000,00;R$ 519.798.000,00;R$ 59.839.000,00;-R$ 81.049.000,00
